"INLINE CharLevelUpSkillTable","Skill List Address"
"None",0
"Ria",0
"Garthan",0
"Everett",0
"Ignace",0
"Edith",0
"Maurus",0
"Furia",0
"Kate",0
"Lilac",0
"Sayra",0
"Jhonka",0
"Acies",0
"Yorrick",0
"Mint",0
"Gershon",0
"Osian",0
"Tony",0
"Juan",0
"Reuben",0
"Anna",0
"Arla",0
"Irena",0
"Reagan",0
"Ingrid",0
"Dan (WyvKnt)",0
"Dan (Strigoi)",0
"Fraoch",0
"Karn",0
"Sonny",0
"Alya",0
"Hadi",0
"Feidlimid",0
"Dog",0
"Volstagg",0
"Rhosyn",0
"Arwen",0
"Eo",0
"Anna",0
"Felix",0
"Wanda",0
"Itzhar",0
"Destiny",0
,0
,0
,0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"Lyon's Summon",0
"-",0
"-",0
"Knoll's Summon",0
"Ewan's Summon",0
"Lyon (Ch 17)",0
"Morva (Ch 20)",0
"Orson (Ch 5x)",0
"Valter (Ch 15)",0
"Selena (Ch 10B & 13B)",0
"Valter (Prologue)",0
"Breguet (Ch 1)",0
"Bone (Ch 2)",0
"Bazba (Ch 3)",0
"Entombed (Ch 4)",0
"Saar (Ch 5)",0
"Novala (Ch 6)",0
"Murray (Ch 7)",0
"Tirado (Ch 8)",0
"Binks (Ch 9A)",0
"Pablo (Ch 10A)",0
"Maelduin (Ch 12A)",0
"Aias (Ch 13A)",0
"Carlyle (Ch 14A)",0
"Caellach (Ch 15)",0
"Pablo (Ch 13A)",0
"-",0
"Gorgon (Ch 18)",0
"Riev (Ch 19 & 20)",0
"-",0
"-",0
"Gheb (Ch 9B)",0
"Beran (Ch 10B)",0
"Cyclops (Ch 12B)",0
"Wight (Ch 11A)",0
"Deathgoyle (Ch 11B)",0
"Entombed (Monster Boss)",0
"-",0
"-",0
"-",0
"-",0
"Hunter (Ch 16)",0
"-",0
"Brigand",0
"-",0
"O'Neill (Prologue)",0
"Glen (Cutscene)",0
"Zonta (Ch 5x)",0
"Vigarde (Ch 14B)",0
"Lyon (Ch Final)",0
"Orson (Ch 16)",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"Grado Soldier (Special)",0
"Grado Soldier 1 (Normal)",0
"Grado Soldier 2",0
"Grado Soldier 3",0
"Grado Soldier 4",0
"Grado Soldier 5",0
"Grado Soldier 6",0
"Grado Soldier 7",0
"Grado Soldier 8",0
"Grado Soldier 9",0
"Grado Soldier 10 (Duessel's)",0
"Grado Soldier 11 (Duessel's)",0
"Grado Soldier 12 (Duessel's)",0
"Grado Soldier 13",0
"Grado Remnant 1 (Main)",0
"Cutthroat",0
"Grado Remnant 2 (Cutscene and C16 only?)",0
"Grado Remnant 3 (C16 only?)",0
"Grado Remnant 4 (C16 only?)",0
"Wraith (Sage)",0
"Wraith (Swords)",0
"Wraith (Axes)",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"Mercenary (C9A)",0
"Mercenary (C10A)",0
"Merc Remnant (C13A)",0
"Monster",0
"Monster",0
"Monster",0
"Monster",0
"Monster",0
"Monster",0
"Monster",0
"Monster",0
"Monster",0
"Monster",0
"Monster",0
"Monster",0
"Monster",0
"Monster",0
"Monster",0
"Monster",0
"Monster",0
"Monster",0
"Monster",0
"Monster",0
"Monster",0
"Demon King",0
"-",0
"Frelian",0
"Frelian",0
"-",0
"-",0
"-",0
"Fado (Renais)",0
"-",0
"Hayden (Frelia)",0
"Mansel (Rausten)",0
"Klimt (Carcino)",0
"Dara (Caer Pelyn)",0
"Ismaire (Jehanna)",0
"Pegasus Messenger",0
"Rausten Knight",0
"Rausten Knight",0
"(Untested Beyond this point)",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
"-",0
