"INLINE ClassLevelUpSkillTable","Skill Pointer"
"0x00","0x0"
"Lord","0x0"
"Harbringer","0x0"
"Freelancer","0x0"
"Archsage F","0x0"
"Berserker F","0x0"
"Cursed Sword","0x0"
"Sword/Axe Paladin M","0x0"
"Sword/Axe Paladin F","0x0"
"0x09 Knight","0x0"
"Deacon","0x0"
"0x0B General","0x0"
"0x0C General","0x0"
"0x0D Thief","0x0"
"Marauder","0x0"
"0x0F Mercenary","0x0"
"Monk F","0x0"
"0x11 Hero","0x0"
"Necromancer F","0x0"
"0x13 Myrmidon","0x0"
"0x14 Myrmidon","0x0"
"0x15 Swordmaster","0x0"
"0x16 Swordmaster","0x0"
"0x17 Assassin","0x0"
"0x18 Assassin","0x0"
"0x19 Archer","0x0"
"0x1A Archer","0x0"
"0x1B Sniper","0x0"
"0x1C Sniper","0x0"
"0x1D Ranger","0x0"
"0x1E Ranger","0x0"
"0x1F Wyvern Rider","0x0"
"Nomad F","0x0"
"0x21 Wyvern Lord","0x0"
"Nomad M","0x0"
"0x23 Wyvern Kn.","0x0"
"Nomad Trooper F","0x0"
"0x25 Mage","0x0"
"0x26 Mage","0x0"
"0x27 Sage","0x0"
"0x28 Sage","0x0"
"0x29 Mage Knight","0x0"
"0x2A Mage Knight","0x0"
"0x2B Bishop","0x0"
"0x2C Bishop","0x0"
"0x2D Shaman","0x0"
"0x2E Shaman","0x0"
"0x2F Druid","0x0"
"0x30 Druid","0x0"
"0x31 Summoner","0x0"
"0x32 Summoner","0x0"
"0x33 Rogue","0x0"
"0x34 Gorgon Egg","0x0"
"0x35 Great Knight","0x0"
"Nomad Trooper M","0x0"
"Rogue F","0x0"
"Spartan","0x0"
"FREE SPACE","0x0"
"Templar","0x0"
"0x3B Manakete","0x0"
"0x3C Manakete","0x0"
"Thief F","0x0"
"Transporter","0x0"
"0x3F Fighter","0x0"
"0x40 Warrior","0x0"
"0x41 Brigand","0x0"
"0x42 Pirate","0x0"
"0x43 Berserker","0x0"
"0x44 Monk","0x0"
"0x45 Priest","0x0"
"0x46 Bard","0x0"
"Halberdier","0x0"
"0x48 Pegasus Kn.","0x0"
"0x49 Falcoknight","0x0"
"0x4A Cleric","0x0"
"0x4B Troubadour","0x0"
"0x4C Valkyrie","0x0"
"0x4D Dancer","0x0"
"0x4E Soldier","0x0"
"0x4F Necromancer","0x0"
"0x50 Fleet","0x0"
"0x51 Phantom","0x0"
"0x52 Revenant","0x0"
"0x53 Entombed","0x0"
"0x54 Bonewalker","0x0"
"Sword Cavalier M","0x0"
"0x56 Wight","0x0"
"Sword Cavalier F","0x0"
"0x58 Bael","0x0"
"0x59 Elder Bael","0x0"
"0x5A Cyclops","0x0"
"0x5B Mauthe Doog","0x0"
"0x5C Gwyllgi","0x0"
"0x5D Tarvos","0x0"
"0x5E Maelduin","0x0"
"0x5F Mogall","0x0"
"0x60 Arch Mogall","0x0"
"0x61 Gorgon","0x0"
"0x62 Gorgon Egg","0x0"
"0x63 Gargoyle","0x0"
"0x64 Deathgoyle","0x0"
"0x65 Draco Zombie","0x0"
"0x66 Demon King","0x0"
"0x67","0x0"
"0x68","0x0"
"0x69","0x0"
"0x6A","0x0"
"0x6B","0x0"
"0x6C","0x0"
"0x6D Civilian","0x0"
"0x6E Civilian","0x0"
"0x6F Civilian","0x0"
"0x70 Civilian","0x0"
"0x71 Civilian","0x0"
"0x72 Civilian","0x0"
"0x73","0x0"
"0x74 Queen","0x0"
"0x75","0x0"
"0x76 Queen","0x0"
"0x77","0x0"
"0x78","0x0"
"0x79 Tent","0x0"
"0x7A Pontifex","0x0"
"0x7B","0x0"
"Lance Cavalier M","0x0"
"Lance Cavalier F","0x0"
"Axe Cavaler M","0x0"
"Axe Cavalier F","0x0"
"Lance/Sword Pal M","0x0"
"Lance/Sword Pal F","0x0"
"Axe/Lance Pal M","0x0"
"Axe/Lance Pal F","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
"0x0","0x0"
