INLINE PromotionBranchTable,Class Selection 1,Class Selection 2
0x01 Ria Lord,RiaGreatLord,0x0
0x02 Harbringer,0x0,0x0
0x03 Freelancer,0x0,0x0
0x04 Fallen Angel,0x0,0x0
0x05 Berserker F,0x0,0x0
0x06 Cursed Sword,0x0,0x0
0x07 Sword/Axe Paladin M,0x0,0x0
0x08 Sword/Axe Paladin F,0x0,0x0
0x09 Knight,General,GreatKnight
0x0A Deacon,Templar,MageKnight
0x0B General M,0x0,0x0
0x0C General F,0x0,0x0
0x0D Thief M,Assassin,Rogue
0x0E Marauder,0x0,0x0
0x0F Mercenary M,Hero,Spartan
0x10 Monk F,Bishop_F,Sage_F
0x11 Hero M,0x0,0x0
0x12 Necromancer F,0x0,0x0
0x13 Myrmidon M,Swordmaster,Assassin
0x14 Myrmidon F,Swordmaster_F,Assassin_F
0x15 Swordmaster M,0x0,0x0
0x16 Swordmaster F,0x0,0x0
0x17 Assassin M,0x0,0x0
0x18 Assassin F,0x0,0x0
0x19 Archer M,Sniper,Ranger
0x1A Archer F,Sniper_F,Ranger_F
0x1B Sniper M,0x0,0x0
0x1C Sniper F,0x0,0x0
0x1D Ranger M,0x0,0x0
0x1E Ranger F,0x0,0x0
0x1F Wyvern Rider,WyvernLord,WyvernKnight
0x20 Nomad F,NomadTrooper_F,Ranger_F
0x21 Wyvern Lord,0x0,0x0
0x22 Nomad M,NomadTrooper,Ranger
0x23 Wyvern Kn.,0x0,0x0
0x24 Nomad Trooper F,0x0,0x0
0x25 Mage M,Sage,MageKnight
0x26 Mage F,Sage_F,MageKnight_F
0x27 Sage M,0x0,0x0
0x28 Sage F,0x0,0x0
0x29 Mage Knight M,0x0,0x0
0x2A Mage Knight F,0x0,0x0
0x2B Bishop M,0x0,0x0
0x2C Bishop F,0x0,0x0
0x2D Shaman M,Druid,Summoner
0x2E Shaman F,Druid_F,Summoner_F
0x2F Druid M,0x0,0x0
0x30 Druid F,0x0,0x0
0x31 Summoner M,0x0,0x0
0x32 Summoner F,0x0,0x0
0x33 Rogue M,0x0,0x0
0x34 Gorgon Egg,0x0,0x0
0x35 Great Knight M,0x0,0x0
0x36 Nomad Trooper M,0x0,0x0
0x37 Rogue F,0x0,0x0
0x38 Spartan,0x0,0x0
0x39 FREE SPACE,0x0,0x0
0x3A Templar,0x0,0x0
0x3B Manakete,0x0,0x0
0x3C Manakete,0x0,0x0
0x3D Thief F,Assassin_F,Rogue_F
0x3E Transporter,0x0,0x0
0x3F Fighter,Warrior,Hero
0x40 Warrior,0x0,0x0
0x41 Brigand,Marauder,Berserker
0x42 Pirate,Berserker,Warrior
0x43 Berserker,0x0,0x0
0x44 Monk M,Bishop,Sage
0x45 Priest,Bishop,Sage
0x46 Bard,0x0,0x0
0x47 Halberdier,0x0,0x0
0x48 Pegasus Kn.,Falcoknight,WyvernKnight
0x49 Falcoknight,0x0,0x0
0x4A Cleric,Bishop_F,Sage_F
0x4B Troubadour,Valkyrie,MageKnight_F
0x4C Valkyrie,0x0,0x0
0x4D Dancer,0x0,0x0
0x4E Soldier,Halberdier,Spartan
0x4F Necromancer M,0x0,0x0
0x50 Fleet,0x0,0x0
0x51 Phantom,0x0,0x0
0x52 Revenant,Entombed,0x0
0x53 Entombed,0x0,0x0
0x54 Bonewalker,Wight,0x0
0x55 Sword Cavalier M,SwordPaladin,GreatKnight
0x56 Wight,0x0,0x0
0x57 Sword Cavalier F,SwordPaladin_F,GreatKnight_F
0x58 Bael,ElderBael,0x0
0x59 Elder Bael,0x0,0x0
